,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
BRICKMAN SEN. MILES,MASTER MOLD III,GILBERTI ROSE,CREED GRAYDON,BRIDGE GEORGE WASHI,SUMMERS NATHAN CHRI,KRAGG GEN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJESTON ZELIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVA,MAJESTON ZELIA,KINCAID DR. JANE FO,SPIDER-MAN/PETER PAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAMOND CHUCKY,MAJESTON ZELIA,KINCAID DR. JANE FO,SPIDER-MAN/PETER PAR,ADVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINCAID DR. KEITH,MAJESTON ZELIA,KINCAID DR. JANE FO,SPIDER-MAN/PETER PAR,ADVA,DIAMOND CHUCKY,THING/BENJAMIN J. GR,THOR/DR. DONALD BLAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERRARI CONNIE,COUNT NEFARIA LUCHI,RAMIREZ JAVIER,CAPTAIN AMERICA,JARVIS EDWIN ,FURY COL. NICHOLAS ,PROTOCIDE/PRIVATE CL,CARTER SHARON,BILLUPS AGENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAKARA KANU,FERRARI CONNIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAKARA MADAN,FERRARI CONNIE,CHAKARA KANU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOSLEY WARDEN,FERRARI CONNIE,CHAKARA KANU,CHAKARA MADAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLAW/ULYSSES KLAW,CAPTAIN AMERICA,IRON MAN/TONY STARK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYJA LAZERFIST [SKRU,INVISIBLE WOMAN/SUE ,HUMAN TORCH/JOHNNY S,DEVLOR,VIBRAXAS/N'KANO,RICHARDS NATHANIEL,THING/BENJAMIN J. GR,PSI-LORD/FRANKLIN BE,ANT-MAN II/SCOTT HAR,UATU,KRISTOFF/KRISTOFF VE,HUNTARA/MARY ELIZABE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEVLOR,INVISIBLE WOMAN/SUE ,HUMAN TORCH/JOHNNY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIBRAXAS/N'KANO,INVISIBLE WOMAN/SUE ,HUMAN TORCH/JOHNNY S,DEVLOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHARDS NATHANIEL,INVISIBLE WOMAN/SUE ,HUMAN TORCH/JOHNNY S,DEVLOR,VIBRAXAS/N'KANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSI-LORD/FRANKLIN BE,INVISIBLE WOMAN/SUE ,HUMAN TORCH/JOHNNY S,DEVLOR,VIBRAXAS/N'KANO,RICHARDS NATHANIEL,THING/BENJAMIN J. GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANT-MAN II/SCOTT HAR,INVISIBLE WOMAN/SUE ,HUMAN TORCH/JOHNNY S,DEVLOR,VIBRAXAS/N'KANO,RICHARDS NATHANIEL,THING/BENJAMIN J. GR,PSI-LORD/FRANKLIN BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRISTOFF/KRISTOFF VE,INVISIBLE WOMAN/SUE ,HUMAN TORCH/JOHNNY S,DEVLOR,VIBRAXAS/N'KANO,RICHARDS NATHANIEL,THING/BENJAMIN J. GR,PSI-LORD/FRANKLIN BE,ANT-MAN II/SCOTT HAR,UATU,CAPTAIN AMERICA,TERRAX II/TYROS,IRON MAN/TONY STARK ,DR. DOOM/VICTOR VON ,ZARRKO ARTHUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTARA/MARY ELIZABE,INVISIBLE WOMAN/SUE ,HUMAN TORCH/JOHNNY S,DEVLOR,VIBRAXAS/N'KANO,RICHARDS NATHANIEL,THING/BENJAMIN J. GR,PSI-LORD/FRANKLIN BE,ANT-MAN II/SCOTT HAR,UATU,KRISTOFF/KRISTOFF VE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE TIGER/HECTOR A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHA SHAN,SPIDER-MAN/PETER PAR,THOMPSON EUGENE FLA,MORBIUS/DR. MICHAEL ,ROBERTSON JOE,LIGHTMASTER/EDWARD L,MORGAN,HITMAN/LT. BURT KENY,VULTURE/ADRIAN TOOME,PARKER MAY,WATSON ANNA,GRANT GLORIA GLORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARANTULA/ANTON MIGU,SPIDER-MAN/PETER PAR,THOMPSON EUGENE FLA,ROBERTSON JOE,LIGHTMASTER/EDWARD L,SHA SHAN,GRANT GLORIA GLORY,JAMESON J. JONAH,KRAVEN THE HUNTER/SE,KINGPIN/WILSON FISK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIGHTMASTER/EDWARD L,SPIDER-MAN/PETER PAR,THOMPSON EUGENE FLA,TARANTULA/ANTON MIGU,WATSON-PARKER MARY ,ROBERTSON JOE,JAMESON J. JONAH,KRAVEN THE HUNTER/SE,KINGPIN/WILSON FISK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRAVEN THE HUNTER/SE,JAMESON J. JONAH,ANT-MAN/DR. HENRY J.,WATSON ANNA,PARKER MAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN,VULTURE/ADRIAN TOOME,SPIDER-MAN/PETER PAR,THOMPSON EUGENE FLA,MORBIUS/DR. MICHAEL ,PARKER MAY,WATSON ANNA,GRANT GLORIA GLORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HITMAN/LT. BURT KENY,VULTURE/ADRIAN TOOME,MORGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLINE MR.,IRON MAN/TONY STARK ,RODGERS MARIANNE,CRANDAL BEN,DEMITRIUS,NIGHT PHANTOM II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRANDAL BEN,KLINE MR.,IRON MAN/TONY STARK ,RODGERS MARIANNE,DEMITRIUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUARDSMAN/KEVIN O'BR,KLINE MR.,CRANDAL BEN,WHITE DRAGON,FURY COL. NICHOLAS ,IRON MAN/TONY STARK ,RODGERS MARIANNE,NIGHT PHANTOM II,CAPTAIN AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RODGERS MARIANNE,KLINE MR.,CRANDAL BEN,GUARDSMAN/KEVIN O'BR,IRON MAN/TONY STARK ,DEMITRIUS,WHITE DRAGON,FURY COL. NICHOLAS ,NIGHT PHANTOM II,HOGAN VIRGINIA PEPP,SUPER-ADAPTOID/ALESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SITWELL JASPER,IRON MAN/TONY STARK ,RODGERS MARIANNE,CRANDAL BEN,KLINE MR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLASHER,DEMITRIUS,RODGERS MARIANNE,CRANDAL BEN,IRON MAN/TONY STARK ,KLINE MR.,BYRD SEN. HARRINGTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMITRIUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYRD SEN. HARRINGTO,DEMITRIUS,RODGERS MARIANNE,CRANDAL BEN,IRON MAN/TONY STARK ,KLINE MR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE DRAGON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIGHT PHANTOM II,KLINE MR.,IRON MAN/TONY STARK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA-ZAR/KEVIN PLUNDER,KLAW/ULYSSES KLAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BILLUPS AGENT,KA-ZAR/KEVIN PLUNDER,COUNT NEFARIA LUCHI,RAMIREZ JAVIER,CAPTAIN AMERICA,JARVIS EDWIN ,FURY COL. NICHOLAS ,PROTOCIDE/PRIVATE CL,CARTER SHARON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROTOCIDE/PRIVATE CL,KA-ZAR/KEVIN PLUNDER,BILLUPS AGENT,COUNT NEFARIA LUCHI,RAMIREZ JAVIER,CAPTAIN AMERICA,JARVIS EDWIN ,FURY COL. NICHOLAS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZABU,KA-ZAR/KEVIN PLUNDER,BILLUPS AGENT,PROTOCIDE/PRIVATE CL,KLAW/ULYSSES KLAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLUNDER ADAM KYLE M,KA-ZAR/KEVIN PLUNDER,BILLUPS AGENT,PROTOCIDE/PRIVATE CL,ZABU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANNING DR.,KA-ZAR/KEVIN PLUNDER,BILLUPS AGENT,PROTOCIDE/PRIVATE CL,ZABU,PLUNDER ADAM KYLE M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHANNA/SHANNA O'HARA,KA-ZAR/KEVIN PLUNDER,BILLUPS AGENT,PROTOCIDE/PRIVATE CL,ZABU,PLUNDER ADAM KYLE M,MANNING DR.,CAPTAIN AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIREBRAND/GARY GILBE,RODGERS MARIANNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMIREZ JAVIER,COUNT NEFARIA LUCHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAYTRIPPER/AMANDA SE,NIGHTCRAWLER/KURT WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIGHTCRAWLER/KURT WA,QUASAR III/WENDELL V,USAGENT/CAPTAIN JOHN,MEGGAN,LOCKHEED,KNIGHT ERRANT/MATSON,ICON/DR. U'MBAYA A'K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOG III,PSYLOCKE/ELISABETH B,ROGUE /,MAGOG II,ARIZE,QUARK,MOJO,GAMBIT/REMY LEBEAU ,CYCLOPS/SCOTT SUMMER,PROFESSOR X/CHARLES ,MAJOR DOMO,WOLVERINE/LOGAN ,BEAST/HENRY &HANK& P,FORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGOG II,PSYLOCKE/ELISABETH B,ROGUE /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARIZE,PSYLOCKE/ELISABETH B,ROGUE /,MAGOG II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUARK,PSYLOCKE/ELISABETH B,ROGUE /,MAGOG II,ARIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOJO,PSYLOCKE/ELISABETH B,ROGUE /,MAGOG II,ARIZE,QUARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAMBIT/REMY LEBEAU ,PSYLOCKE/ELISABETH B,ROGUE /,MAGOG II,ARIZE,QUARK,MOJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJOR DOMO,PSYLOCKE/ELISABETH B,ROGUE /,MAGOG II,ARIZE,QUARK,MOJO,GAMBIT/REMY LEBEAU ,CYCLOPS/SCOTT SUMMER,PROFESSOR X/CHARLES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORGE,PSYLOCKE/ELISABETH B,ROGUE /,MAGOG II,ARIZE,QUARK,MOJO,GAMBIT/REMY LEBEAU ,CYCLOPS/SCOTT SUMMER,PROFESSOR X/CHARLES ,MAJOR DOMO,WOLVERINE/LOGAN ,BEAST/HENRY &HANK& P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAW SHINOBI,GAMBIT/REMY LEBEAU ,BISHOP /,KINE BENEDICT,PAYGE REEVA,PROFESSOR X/CHARLES ,KAUR BENAZIR,BEAST/HENRY &HANK& P,STORM/ORORO MUNROE S,JARVIS EDWIN ,ANGEL/WARREN KENNETH,JUBILEE/JUBILATION L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISHOP /,GAMBIT/REMY LEBEAU ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINE BENEDICT,GAMBIT/REMY LEBEAU ,BISHOP /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYGE REEVA,GAMBIT/REMY LEBEAU ,BISHOP /,KINE BENEDICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAUR BENAZIR,GAMBIT/REMY LEBEAU ,BISHOP /,KINE BENEDICT,PAYGE REEVA,PROFESSOR X/CHARLES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAUGHAN MRS.,BETELHEIM NORMA,QUASAR III/WENDELL V,ORIGIN/PHYLLIS TWOMB,VAUGHAN GAYLE,BALLANTINE KAYLA,UNBEING/BILLY BETELH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETELHEIM NORMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUASAR III/WENDELL V,BETELHEIM NORMA,WHIZZER II/STANLEY S,ARCANNA/ARCANNA JONE,MAKKARI/MIKE KHARY/I,KRONOS,LORD CHAOS,BALLANTINE KAYLA,EON,DRAGONFLY/VERONICA D,OVERMIND/GROM,4-D MAN/MERCURIO,BI-BEAST II,RED GUARDIAN III/DR.,EGO-PRIME,TANAKA KENJIRO,DR. SPECTRUM/JOSEPH ,STRANGER,JAKAR,POWER PRINCESS/ZARDA,SHANGA,CHARM,TRUTH,HYPERION,MOONDRAGON/HEATHER D,LADY LARK/LINDA LEWI,STARDUST/T'URIN G'AR,FLASH/BARRY ALLEN/BU,QUICKSILVER/PIETRO M,SUPER SABRE/MARTIN F,BLACK RACER/,WHIZZER III/JAMES SA,RUNNER,HALFLIFE,REJECT/RAN-SAK [DEVI,KRO [DEVIANT],WONDER MAN/SIMON WIL,MASTER ELO,TUTINAX,BLOOD BROTHERS,ELO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIGIN/PHYLLIS TWOMB,BETELHEIM NORMA,QUASAR III/WENDELL V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAUGHAN GAYLE,BETELHEIM NORMA,QUASAR III/WENDELL V,ORIGIN/PHYLLIS TWOMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALLANTINE KAYLA,BETELHEIM NORMA,QUASAR III/WENDELL V,ORIGIN/PHYLLIS TWOMB,VAUGHAN GAYLE,WHIZZER II/STANLEY S,ARCANNA/ARCANNA JONE,MAKKARI/MIKE KHARY/I,KRONOS,LORD CHAOS,DRAGONFLY/VERONICA D,OVERMIND/GROM,HYPERION,POWER PRINCESS/ZARDA,MOONDRAGON/HEATHER D,DR. SPECTRUM/JOSEPH ,FLASH/BARRY ALLEN/BU,QUICKSILVER/PIETRO M,SUPER SABRE/MARTIN F,BLACK RACER/,WHIZZER III/JAMES SA,TANAKA KENJIRO,LADY LARK/LINDA LEWI,RUNNER,HALFLIFE,USAGENT/CAPTAIN JOHN,MEGGAN,NIGHTCRAWLER/KURT WA,REJECT/RAN-SAK [DEVI,KRO [DEVIANT],WONDER MAN/SIMON WIL,MASTER ELO,TUTINAX,BLOOD BROTHERS,EON,ELO,HAYWIRE/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNBEING/BILLY BETELH,BETELHEIM NORMA,QUASAR III/WENDELL V,ORIGIN/PHYLLIS TWOMB,VAUGHAN GAYLE,BALLANTINE KAYLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHIZZER II/STANLEY S,DRAGONFLY/VERONICA D,OVERMIND/GROM,BALLANTINE KAYLA,4-D MAN/MERCURIO,BI-BEAST II,RED GUARDIAN III/DR.,EGO-PRIME,TANAKA KENJIRO,MAKKARI/MIKE KHARY/I,DR. SPECTRUM/JOSEPH ,STRANGER,JAKAR,POWER PRINCESS/ZARDA,ARCANNA/ARCANNA JONE,SHANGA,CHARM,TRUTH,QUASAR III/WENDELL V,BEAUTY,LADY LARK/LINDA LEWI,MOONDRAGON/HEATHER D,HYPERION,ROCKET RACCOON,JACK OF HEARTS/JACK ,KRAKOA,EON,STARDUST/T'URIN G'AR,DIAMONDHEAD/DYKER,FLASH/BARRY ALLEN/BU,QUICKSILVER/PIETRO M,SUPER SABRE/MARTIN F,BLACK RACER/,WHIZZER III/JAMES SA,RUNNER,SHAPE,HAYWIRE/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCANNA/ARCANNA JONE,WHIZZER II/STANLEY S,DRAGONFLY/VERONICA D,OVERMIND/GROM,BALLANTINE KAYLA,4-D MAN/MERCURIO,BI-BEAST II,RED GUARDIAN III/DR.,EGO-PRIME,TANAKA KENJIRO,MAKKARI/MIKE KHARY/I,DR. SPECTRUM/JOSEPH ,STRANGER,JAKAR,POWER PRINCESS/ZARDA,HYPERION,MOONDRAGON/HEATHER D,QUASAR III/WENDELL V,EON,LADY LARK/LINDA LEWI,HAYWIRE/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
